Name,Description
Jolteon,"Jolteon is a quadrupedal, mammalian Pokémon. It is covered in yellow fur with a spiky fringe around its tail and a white ruff around its neck. Its ears are large and pointed with black interiors, and its eyes and small nose are black. It has slender legs and small paws, each with three toes and a pink paw-pad."
Flareon,"Flareon is a mammalian, quadrupedal Pokémon covered in short, reddish-orange fur. It has long ears with black interiors, dark eyes, and a small black nose. There are three small toes and a yellow paw pad on each foot. Fluffy yellow fur forms a small tuft on its head, as well as its bushy tail and a mane around its chest and neck."
Porygon,"Porygon is an artificial Pokémon made completely out of programming code. It has a pink, polyhedral head that ends in a blue beak and has hexagonal eyes, and it has a pink polyhedral body with a blue front, blue triangular prism feet, and a blue rectangular prism tail. In 3D games, such as Pokémon Stadium, it can open its beak and can detach its limbs and head from its torso. According to its Pokédex entries, it has copy protection built into its code, preventing duplication through electronic means. It was created in 1995 by Silph Co.,[1] but documents at Silph Co. claim it was created at the Pokémon Lab on Cinnabar Island using the state-of-the-art technology of its time. Because it was created decades ago, many of its parts have since become obsolete. It was the first artificial Pokémon to have ever been created through computer programming. In ancient Hisui, people were confused about Porygon and its evolutions due to them arriving through space-time distortions and being the product of far more advanced technology than what was available at the time."
Omanyte,"Omanyte is a small extinct cephalopod mollusk Pokémon similar to an ammonite or nautilus. It has a sky blue body with ten tentacles and a pale yellow, helix-spiraled shell on its back. The shell's rim has two circular indents where Omanyte's large saucer-like eyes protrude. If attacked or threatened, it quickly withdraws into its hard shell."
Omastar,"Omastar is a cephalopod mollusk Pokémon similar to an ammonite or nautilus. Its sky blue body has several tentacles; the tentacles toward the front are shorter and thicker than those in the back. There is a pale yellow, helix spiraled shell on its back. Several sharp spikes line the shell's midsection from the front to about halfway down its back. The shell's rim has two circular indents where Omastar's eyes are visible. Its eyes have yellow sclerae and vertically-slit pupils. It has an oval mouth with a four-sectioned, fang-like beak."
Kabuto,"Kabuto is a small arthropod Pokémon resembling a horseshoe crab. It is mostly flat with a protective, brown shell covering its body. There are two small, black eyes on top of its shell, which it uses for sight when it hides on the ocean floor. Underneath the shell is a black space that hides the structure of its main body. Only its four short, yellow legs and a second pair of luminescent red eyes are visible on its underside. In its original time, Kabuto was prominently found on beaches, likely aided by its fast and powerful swimming ability. While it is commonly believed to be extinct, isolated populations of Kabuto have been unchanged for 300 million years."
Kabutops,"Kabutops is a bipedal prehistoric arthropod Pokémon with a skeletal, well-armored build. It has a flat, half-circular head with a point on each side and two small eyes on the front. It is mostly brown, except for its light gray chest and abdomen. There is a ridge down its back with three flat spines on either side and it has a flat, pointed tail. Instead of hands, its forearms have large, sharp, gray scythes. Its thin legs are brown lead to small feet with two large gray claws."
Aerodactyl,"Aerodactyl is a reptilian, bipedal prehistoric Pokémon that resembles a pterosaur with several draconic features. It has small sharply pointed ears, narrow dark green eyes, a ridged snout, a gaping mouth, and a strong lower jaw full of serrated fangs. Its body is covered in light blue-gray skin and it has large, violet membranous wings. The clawed hands at the end of each wing allow it to grasp objects. There is a hump-like ridge with a spike on its back, and it has a strong tail with an arrow-shaped tip. Its talon-like feet have two toes in front and one in the back, and are capable of scooping up and tightly clutching its prey in flight."
Snorlax,"Snorlax is a huge, bipedal, dark blue-green mammalian Pokémon with a cream-colored face, belly, and feet. Its body is composed of mostly its belly, as its limbs are comparatively small. Its head is large with small, pointed ears, and two pointed teeth protruding from its lower jaw. It has round feet, which both have three claws and a circular brown paw pad, and short arms with five claws on each hand. Snorlax's bulk makes it the heaviest Normal type."
Articuno,"Articuno is a large avian Pokémon with predominantly sky blue plumage and wings said to be made of ice. On its forehead is a crest that consists of three, darker blue rhombus-shaped feathers. It has circular red eyes, a short gray beak, and long, thin gray legs. Each foot has three forward-facing digits and one facing backward. On its chest is a mass of white, downy feathers. Its long, streamer-like tail is longer than its body and the same shade of blue as its crest."
Zapdos,"Zapdos is a large, avian Pokémon with predominantly yellow plumage. It has small, triangular eyes with black around them and a long, thin, light orange beak. Its wings and tail are a mass of spiky feathers and there are black feathers covering the back of its wings and inner tail feathers. A large crest of spiked feathers surrounds its head. Its thighs are tan, and it has thin, light orange legs. It has feet with three forward-facing toes and one backward-facing toe; each toe has a short talon."
Moltres,"Moltres is a large, avian Pokémon with a light yellow plumage. It has a long, flowing head crest and a billowing tail, both made of reddish flames. Additionally, its wings are also shrouded in fiery plumage. It has a long, thin neck, a pointed, brown beak, and small, triangular eyes. Its thin, brown legs have anisodactyl feet, with three forward-facing digits and one facing backward."
Dratini,"Dratini is a reptilian Pokémon with a blue serpentine body and a white underside. It has white, three-pronged fins on the sides of its head and a white bump on its forehead, which is its horn growing. Above its round, white snout are oval, purple eyes."
Dragonair,"Dragonair is a long, serpentine reptilian Pokémon with sky blue scales and a white underside. It has a rounded snout, oval purple eyes, and a small, white horn on its forehead. On each side of its head is a small, stylized wing, which is white and curves into a swirl at the base. Three blue, crystal orbs adorn its body: one on its neck and two on its tail."
Dragonite,"Dragonite is a draconic, bipedal reptilian Pokémon with light orange skin. It has large, grayish-green eyes and a round snout with small nostrils. A pair of long, thin antennae sprout from the top of its head with a small horn set between them. Its striated underbelly is cream-colored and extends from its neck to the tip of its long, tapering tail. It has thick arms and legs ending in three claws each. The leg joints are well defined, while its arms have a smooth, rounded appearance. Dragonite's wings are small relative to its body with teal wing membranes."
Mewtwo,"Mewtwo is an artificial Pokémon. It is a bipedal, humanoid Pokémon with some feline features. Its body is primarily gray with a long, purple tail and a purple underbelly. On top of its head are two short, blunt horns, and it has purple eyes. A tube extends from the back of its skull to the top of its spine, bypassing its neck. It has a defined chest and shoulders, which resemble a breastplate. The three digits on each hand and foot have spherical tips. Its tail is thick at the base but thins before ending in a small bulb."
Mew,"Mew is a pink, bipedal Pokémon with mammalian features. It has a rounded, wide snout; triangular ears; and large, blue eyes. It has short arms with three-fingered paws and large hind paws with oval markings on the soles. Its tail is long and thin with an ovoid tip. Its fur is so fine and thin, it can only be seen under a microscope."
Chikorita,"Chikorita is a small, pale-green, quadrupedal Pokémon with dark-green buds around its neck. Its head is large in proportion to the rest of its body, and it has big red eyes. Chikorita has four short legs with a single nailed toe on each and a stubby tail. On top of its head is a large, green leaf that is usually longer than its body."
Bayleef,"Bayleef is a quadrupedal, pale-yellow reptilian Pokémon that resembles a sauropod dinosaur. It has a long neck, red eyes, a short, rounded snout, and a stubby tail. Each foot has a single, light gray nail. Sprouting from its forehead is a green leaf that curves back over its head and around its neck are a series of tightly curled leaves. Inside the leaves are small tree shoots."
Meganium,"Meganium is a quadrupedal, pale-green reptilian Pokémon that resembles a sauropod dinosaur. It has a long neck; yellow eyes; a short, blunt snout; and two stamen-like antennae on top of its snout. The antennae are shorter on a female than on a male. Encircling Meganium's neck are large, pink flower petals with a yellow central pattern and white edges. It has three claws on each foot and a stubby tail."
Cyndaquil,"Cyndaquil is a small, bipedal mammalian Pokémon with bluish fur on top of its body and cream-colored fur on its underside. Its eyes are usually seen closed, and it has a long, thin snout. Its arms are short, but its legs are slightly more developed and have a single nail on each foot. On its back are four red circles that can erupt into flames. When the flames are burning, its back has the appearance of being covered in spines."
Quilava,"Quilava is a quadrupedal Pokémon with a long and slender body. The top half of its body is a dark blue-green, while its underside is cream-colored. It has triangular ears with dark red interiors, a rounded snout, and triangular red eyes. Each of its paws has three toes. It has five red spots on its body that can project flames: two arranged vertically on its forehead and three lined up horizontally on its rear."
Typhlosion,"Typhlosion is a bulky mammalian Pokémon with a long, yet agile body. It is classified as a quadruped, but it is capable of bipedal movement. Most of its body is cream-colored, but its back and the top of its head are a dark green-blue. It has a short, rounded snout and small, triangular eyes and ears. When its mouth is open, its sharp canine teeth and thick tongue are visible. Each of its paws has five digits and there is a coarse, spiky fringe of fur along its rear. Across the back of its neck, several red spots can produce fire."
Totodile,"Totodile is a bipedal, crocodilian Pokémon with well-developed jaws. It has red eyes with ridges above them, black markings around its eyes, and several sharp teeth. On its chest is a yellow, V-shaped marking that extends to its arms; there is a thin line through the center of the marking. Totodile has five fingers and three toes. Down its back is a row of three red spines with a small, red ridge on either side. The tip of its tail has a single red spine as well."
Croconaw,"Croconaw is a bipedal, crocodilian Pokémon. It has well-developed, rounded jaws with two fangs visible in the corners of the lower jaw even when closed. Its eyes are red with black markings around them. There are three clusters of red spikes on its body: one with three points on top of its head, one with two points between its shoulders, and a diamond-shaped one near the tip of its tail. While most of its body is blue, its lower jaw is yellow and there is an asymmetrical, yellow-and-blue pattern around its chest that resembles a spotted animal skin."
Feraligatr,"Feraligatr is a bulky, bipedal, crocodilian Pokémon with blue scales. It has large, powerful jaws lined with several sharp fangs. Three teeth are visible when its jaws are closed: two in its lower jaw and one in its upper. Its eyes are red with black markings around them and ridges above them and its lower jaw is yellow. There are three red spines on its body, each with three points: one on top of its head, one between its shoulders, and one near the tip of its tail. There are also several groups of large, rectangular scales on its arms, knees, tail, and waist. Its back is slightly hunched with ridges behind the shoulders and hips. On its lower body is a yellow, V-shaped marking that extends up to its thighs; there is a thin line through the center of the marking. Its arms have five clawed fingers each, and its feet three clawed toes."
Sentret,"Sentret is a small mammalian Pokémon covered in brown fur. It has long, dark brown ears with dark pink interiors, beady black eyes, and a small mouth. While it is capable of standing on its hind legs, it typically moves on all fours. It has a round body with wide arms and two small feet. On its belly is a white ring and there are dark brown stripes around its tail."
Furret,"Furret is a long, slim-bodied mustelid Pokémon with cream-colored fur and dark brown rings along the length of its body. The back of its head and neck are also dark brown; this marking extends to below its arms where the first ring is formed. It has cream-colored tips on its ears, two brown, whisker-like markings on each cheek, and round, black eyes. Its four limbs are stubby; the forepaws are brown and the hind paws are cream-colored. Furret is capable of standing on its hind legs but prefers to move on all fours. Its body and tail are so similar in structure that it is impossible to tell where its tail begins."
Hoothoot,"Hoothoot is an avian Pokémon that resembles an owl with a round body. Most of its feathers are brown, but its belly is cream-colored. It has large, red eyes; a small, pinkish beak; stubby wings; and a fan-like tail with three feathers. Encircling its eyes are black rings; the lower rims of each ring have three protrusions that resemble the teeth on a gear, while the upper rims have extensions that resemble the hands of a clock. As seen in the anime, Hoothoot's feathers can grow to be shaggy, and the protrusions on its head droop. It has two pinkish feet, each with five-clawed toes. However, it will typically only stand on one foot at a time and alternates between the two at speeds too difficult to track with the naked eye."
Noctowl,"Noctowl is an avian Pokémon that resembles an owl. It has light brown plumage with a darker brown pattern of triangles on its chest. Its fan-like tail is the same dark brown, while its wings are a slightly lighter shade of brown with light brown undersides. It has red eyes with black rings around them and a second, cream-colored ring around the first. Above its eyes are bushy, cream-colored feather ""horns"" that resemble large eyebrows. Its small beak and talons are pinkish, and its feet are cream-colored with three toes facing forward and one backward. As shown in the anime, an elderly Noctowl can grow a small beard."
Ledyba,"Ledyba is a coleopteran insectoid Pokémon that resembles a ladybug. Its elytra are red with five black spots; this pattern differs slightly for each individual. The wings themselves are transparent. Its main body and lower jaw are yellow, while the rest of its head is red. It has large, round eyes and a pair of black antennae. The antennae are shorter on the female than on the male. It has six black legs with white hands that resemble boxing gloves."
Ledian,"Ledian is a coleopteran insectoid Pokémon that resembles a slightly humanoid ladybug. It has a pair of black antennae, a black spot in the center of its forehead and on the back of its head, blue eyes, and a cream-colored area around its mouth; the rest of its head is red. The antennae are shorter on the female than on the male. Its back and the top of its elytra are red with black spots, while the underside of its body and elytra are cream-colored. Underneath its elytra are a pair of clear wings. Its neck and limbs are black. It has four arms with white hands that resemble boxing gloves and a pair of legs with red feet."
Spinarak,"Spinarak is a green arachnid Pokémon that resembles a spider. It has black eyes with white pupils, a white horn on its forehead, and a pair of red mandibles. On the back of its abdomen are two black dots and a line that resembles a face; the face on its back can change expression, as seen in the anime and 3D video games. There is an additional line encircling the end of its abdomen. It has three pairs of yellow legs, each with a black band around the middle."
Ariados,"Ariados is a red arachnid Pokémon that resembles a spider. It has purple eyes, a pair of white mandibles, and a white horn on its forehead. Around its abdomen are two black stripes and there are two black spots and a yellow spinneret on its rear. The spots and spinneret together form a pattern similar to a face. Ariados can produce thread from both its spinneret and its mouth. It has four yellow legs with two purple bands each; on its back are yellow structures similar to its legs with a single purple stripe each. Its feet are tipped with tiny hooks that allow it to climb ceilings and vertical walls."
Crobat,"Crobat is a purple, chiropteran Pokémon with a small, round body. It has long, pointed ears, yellow eyes with red pupils, and a small mouth that usually has its teeth bared. On its body are two pairs of wings: an upper pair that is slightly larger and a lower pair that developed from its hind legs. Both pairs have green-blue membranes, but the lower pair's membranes are only visible from the back. The upper wings have two claw-like fingers near the middle. On the bottom of its body are what appear to be a pair of stubby feet or tufts of fur."
Chinchou,"Chinchou is a small, piscine Pokémon with a round, blue body. It has large yellow eyes with pupils shaped like plus signs, a pair of semi-transparent, light blue pectoral fins, and stubby feet. Positioned on Chinchou's rear, where its tail would be, are a pair of antennae that curve up and over its head. The antennae developed from fins and have yellow, teardrop-shaped orbs at the tips."
Lanturn,"Lanturn is a blue piscine Pokémon that resembles an anglerfish. It has big, red eyes with a yellow mask-like marking around it and small, light blue pectoral fins. The lower half of its tailfin is yellow and has jagged edges. On its back is a Y-shaped antenna with a spherical orb at each tip; this antenna is a modification of its dorsal fin."
Pichu,"Pichu is a small, ground-dwelling rodent Pokémon with pale yellow fur. Its ear-tips, collar, and tail are black and angular. Pichu's pink cheek pouches can store small amounts of electricity, and its tiny nose looks like a dot. Pichu is classified as a quadruped, but it can walk easily on its hind legs."
Cleffa,"Cleffa is a small, pink Pokémon that is vaguely star-shaped in appearance. Its ears are completely brown. Cleffa has two small black eyes and a small mouth, and it appears to have a small, permanent blush on its cheeks. It possesses stubby arms and legs, which have no defined digits and come to a point. It has a curl on its forehead and a curled-up tail."
Igglybuff,"Igglybuff is a small, bipedal balloon-like Pokémon that is completely pink. Its body can turn deep pink when the temperature increases, or when it sings continuously. It has a rounded tuft of hair on top of its head, a small swirl-like pattern on its forehead, and red eyes. Igglybuff has small, stubby limbs, and is usually seen levitating in the air. Rather than walking, this small Pokémon bounces like a ball to move around, as its body is extremely soft and elastic — although it may not be able to stop if it does this. As Igglybuff moves, it secretes sweat with a sweet fragrance, which calms the emotions of its foes."
Togepi,"Togepi is a small, light-yellow Pokémon with a rounded, egg-shaped body. After hatching from its Egg, Togepi's body remains encased in its eggshell. That shell has a white base color, and rounded, mostly unfilled shapes (with thick borders that are either red or blue) dot the shell on all sides. Sticking out of its shell, Togepi has stubby, rounded cone arms and round feet with two toes each. Togepi has thin, black, oval eyes with thin, black arcs on their outer sides. Its head has five round-tipped, conical spikes that seem to form a crown. It also has semi-oval, brown pads on the soles of its feet."
Togetic,"Togetic is a dainty, bipedal Pokémon that is small in stature. It is white with a red and blue triangular ring pattern on its body. It also has a relatively long neck and long legs and a pair of wings on its back, giving it a vaguely angelic appearance. Togetic is capable of levitating itself without needing to flap its wings."
Natu,"Natu is a tiny, mostly green avian Pokémon with a nearly spherical body colored in accents of red, yellow, and black. It possesses brightly colored, yellow-and-red wings with thick black stripes. The wings are small and not fully-grown, thus making it unable to fly. However, it can hop and climb tree trunks. Natu has a red crest on the top of its head, and its three-toed feet and three tail feathers are red as well. Natu also has almond-shaped eyes and a yellow beak."
Xatu,"Xatu is a green, condor-like Pokémon with long, red-and-black tipped white wings that cover most of its front. Underneath its wings are designs that resemble red eyes. Along with its main green coloration, Xatu's design has accents of black, yellow, and red. There is an extra set of yellow stripes on a male Xatu. It has almond eyes, a long, slightly hooked beak, and two long, red feather crests. Xatu's feet have only two toes, one in front and one in back. Xatu's design is similar to a totem pole or a kachina doll."
Mareep,"Mareep is an ovine Pokémon with fluffy cream-colored wool covering its entire body, as well as a curly tuft of wool in the middle of its head. Its head is blue, and it has black eyes. Its four feet are blue and have two digits on each foot, and it appears to be on tiptoe at all times. Its conical ears and tail have a yellow-and-black striped pattern. Mareep has an orange sphere at the end of its tail, which acts like a small light bulb. This sphere glows brighter the more electricity it has."
Flaaffy,"Flaaffy is a pink, bipedal, ovine Pokémon. It has thick, conical ears with black stripes on the sides of its head and small, blue eyes. A white mane of wool covers its head and upper body. This mane forms sideways curls on the top of its head. It has stubby arms and one nail on each foot. Flaaffy's long tail has black stripes and is tipped with a blue orb."
Ampharos,"Ampharos is a yellow, bipedal ovine Pokémon with a white belly. It has conical ears with black stripes and a red orb on its forehead. Its long neck has several black rings around it near the base. Its stubby arms resemble flippers and each foot has a single white nail. It has a long, black-striped tail with a red orb at the tip. The orb on its tail can shine so bright, that it can be seen from space. People have used the light as a beacon, or to send signals across the ocean. Ampharos is generally found in grasslands, though it can also be found in farms alongside its pre-evolved forms Mareep and Flaaffy."
Bellossom,"Bellossom is a primarily green flowering plant Pokémon with circular blue eyes and red markings on its cheeks. It has two bright red Rafflesia-like flowers on its head and green and yellow leaves around its waist that resemble a skirt, all adding to the appearance of a hula dancer. Bellossom's petals are said to be more beautiful the worse the aroma of the Gloom it evolved from. When it rubs the petals on its head together, it creates a pleasing sound. Bellossom does not possess feet; in the anime, its center-most leaves bent as it was getting ready to spring, suggesting that it uses its leaves as substitutes for feet or legs. However, the Pokédex does classify it as a biped."
Marill,"Marill is a small, blue, bipedal semi-aquatic rodent Pokémon. It has a nearly spherical shape with a white belly and it has round ears with red insides. These sensitive ears can detect distant sounds. Marill's arms and feet are short and possess no visible digits. There is a blue, bubble-like ball at the tip of its zigzagging black tail. The tail is flexible and configured to stretch, and the ball is full of oil that acts as a buoy to help keep Marill afloat. The ball at the tip of its tail can glow when Marill attacks. In the anime, Marill was shown to be able to bounce on its tail. In the TCG, Marill is shown to rapidly spin its tail, seemingly readying for an attack."
Azumarill,"Azumarill is a blue, bipedal semiaquatic leporine Pokémon that has an ovoid body. The lower half of its body is white with a white, bubble-like pattern above it, which helps to camouflage it in water. It has elongated, rabbit-like ears with red insides and circular eyes. When in the water, it rolls up its ears to prevent the insides from becoming wet. Its arms and feet are short with rounded ends and no discernible digits. It has a black zigzagging tail with a blue, bubble-like tip. The tip of its tail tends to glow when it attacks or is excited."
Sudowoodo,"Sudowoodo is a Pokémon that has a brown, log-shaped body with yellow spots. It has short legs with toeless feet, and thin forelegs with three green spheres at the ends of its fingers. It has a forked ""branch"" on top of its head, which is shorter on the female than on the male. Despite its appearance, Sudowoodo's composition is closer to a rock than a plant. Originally, it was incorrectly believed to be a Grass-type."
Politoed,"Politoed is a green, bipedal, amphibian Pokémon with yellow hands, belly, throat, and toes. It has a long, curled hair on top of its head and pink cheek spots that are smaller on the female than on the male. There is a green swirl on its belly. Its legs are well developed and it has bulbous toes and fingers."
Hoppip,"Hoppip is a round, pink plant Pokémon with long green leaves growing on top of its head. The leaves on its head have ragged edges, similar to a dandelion. It has big, triangular ears with dark insides, and beady yellow eyes that lack pupils. Its arms and legs are stubby, and it has a short tail with a rounded tip. There is a circular yellow pad on the underside of each foot."
Skiploom,"Skiploom is a plant Pokémon that has a round, green body with stubby arms, feet, and tail. It has large, flat ears on the sides of its head and oval, orange eyes with no pupils. On top of its head is a yellow bloom with a white center. Skiploom spreads its petals to absorb as much sunlight as possible. The bloom on top of its head opens and closes as the temperature fluctuates and its flower blossoms when the temperature rises above 64 °F (18 °C). Because of this, it is sometimes used as a thermometer. It floats in the air to try to get closer to the sun, but closes its flower and immediately hides under the shade of a tree when it rains. If the weather gets too cold, Skiploom will fly away and migrate to warmer regions so that it can photosynthesize. Some people claim to be able to determine a Skiploom's birth location by the scent coming off of its flower. Skiploom lives in temperate grasslands. As seen in the games, the bloom on its head can turn clockwise."
Jumpluff,"Jumpluff is a round, blue plant Pokémon with red, pupilless, beady eyes, two small, round feet, and a tail. Three cotton puffs, almost as large as the body itself, extend off it: one on each arm, and one on top of its head. These puffs produce cotton spores that Jumpluff can use to float in the air, and it can control its flight even in a hurricane. Three to four leaves grow at the base of the top puff."
Aipom,"Aipom is a simian Pokémon with a three-fingered hand at the end of its tail. Its fur is purple, while the skin of its face, inner ears, belly, feet, and the tip of its tail are beige. Its face usually has a cheeky smile and round, blue eyes. With its round ears, Aipom's head is disproportionately large compared to its body. Atop its head is a cowlick that is longer on females than males. Unlike its feet, Aipom's arms are simple, purple stubs."
Sunkern,"Sunkern is a mostly yellow, seed-like Pokémon with a small sprout growing out of its top. It has triangular, spike-like protrusions on top of its head, encircling the sprout. Its body has three broad, brown, vertical stripes. Two of the stripes start jaggedly above Sunkern's dark eyes and continue downward. The other stripe is directly below Sunkern's mouth. Since Sunkern's eyelids are brown, the brown streak patterning appears uninterrupted when Sunkern's eyes are closed."
Sunflora,"Sunflora is a plant Pokémon with a sunflower-like design, having a green trunk and limbs. Its head is circular and cream-colored, with yellow petals growing along the rim. The petals become more vivid as the weather becomes warmer. Sunflora's face has two eyes that appear perpetually closed, and a thin line running vertical beside each eye. Sunflora has leaves extending like arms from its round body and two toes on each foot."
Yanma,"Yanma is a large, red insectoid Pokémon that resembles a dragonfly. Compared to its long, thin abdomen, its thorax is short and wide. It has three pairs of gray two-toed legs and two pairs of wings with red bands on them. The see through wings are described as frail and thin. A bright green mask marking covers most of its face, and it has two spikes on top of its head. Its blue eyes can see all around its body at 360 degrees without even moving its head. This allows Yamma to have a high evasiveness. The end of Yanma's tail has two flat extensions from the sides and two gray spikes in the center."
Wooper,"Wooper is a mostly blue, amphibious Pokémon that resembles an upright, armless axolotl. Wooper's head is large compared to its body, and it has small, round, black eyes. It has purple, branching gills on either side of its head; the males have more branches in its gills than the females. Wooper stands on two small, round feet, and it has a large, thick tail. On its belly are dark blue curved markings."
Quagsire,"Quagsire is a light blue, bipedal, amphibious Pokémon. Its head is broad and round, having little neck to distinguish it from the rest of its body. It has a wide mouth and tiny, black eyes. A wavy, purple stripe runs down its back. Along its spine is a dark blue fin, which is larger on the male than on the female. Quagsire's hands and feet both have three digits. Its outer layer of skin is slimy and slippery. Quagsire shares many similarities with its Paldean relative, Clodsire."
Espeon,"Espeon is a quadrupedal, mammalian Pokémon with slender legs and dainty paws. It is covered in fine, lilac fur. Its ears are large, and it has purple eyes with white pupils. There are tufts of fur near its eyes, and a small, red gem embedded in its forehead. It also has a thin, forked tail."
Umbreon,"Umbreon is a mammalian Pokémon which has a sleek, black body with four slender legs and crimson eyes. It has two pairs of pointed teeth (one pair in each jaw) which are visible when its mouth is open. It has long, pointed ears and a bushy tail, each with a yellow band around them. Its forehead and legs have yellow rings on them."
Murkrow,"Murkrow is an avian Pokémon with black feathers. Its crooked, yellow beak and the three, feathery tufts on its head resemble a witch's nose and hat respectively. The feathery crest is smaller on the female than on the male. It has semi-circular, red eyes with white sclerae and pupils and a spiky collar of feathers around its neck. The shaggy feathers on its tail resemble the end of a broom, and there is a thin, red band at the base of the tail. Its yellow feet have four toes, three facing forward and one backward."
Slowking,"Slowking is a bipedal Pokémon with a Shellder latched onto its head. It is primarily pink, with a pale yellow muzzle and scaled belly. Its feet and hands each have a single clawed digit, while the hands also have a clawless thumb. Around its neck is a spiny ruff with alternating red and white stripes. The Shellder on its head has a spiral shape with two horns near the base. A red gem resides in the center of the Shellder. The Shellder's eyes are visible on the back of the Shellder."
Misdreavus,"Misdreavus is a dark bluish-green, ghost-like Pokémon. While it has no visible arms or legs, its lower half has several small appendages and resembles a ruffled dress. It has five round red gems halfway around its neck, which are used to absorb fear and use it as nourishment. When defeated in the side series games, its body disappears, leaving only the gems around its neck behind. This implies that Misdreavus retreats into the gems when it has been severely weakened. It has long, flowing lilac-tipped ""hair"". Misdreavus's large, red eyes have yellow sclerae."
Unown,"Unown is a flat, thin Pokémon shaped like an eye with appendages that make it resemble a letter or a punctuation mark. It is entirely black, except for its white sclerae. All 26 alphabetic forms of Unown have fully open eyes, while the two punctuation forms have half-closed eyes. Though each of its forms has a counterpart in the Latin alphabet, Unown is said to resemble ancient writing and hieroglyphs. It is a mystery whether Unown predates or postdates written language, and therefore which one is based on the other. Unown can move its appendages independently like tentacles or fingers."
Wobbuffet,"Wobbuffet is a tall, cyan Pokémon with a soft body. Its eyes usually appear scrunched, and it has a jagged upper lip. The female Wobbuffet has a red marking on its mouth that resembles lipstick, while the male does not. It has flat arms that are wider towards the tip and four stubby legs at the base of its body. There are two eyespots on its black tail. Its eyespots are revealed to be capable of blinking and looking around using its tail in the Pokémon Stadium series. Wobbuffet is very protective of its tail, to the point where it will suddenly turn uncharacteristically aggressive if the tail is attacked."
Girafarig,"Girafarig is a cloven-hooved, quadrupedal giraffine Pokémon with a long neck. There is a white blaze on its muzzle, which ends in a round, pink nose. It has two ossicones with bulbous tips on top of its head. Its front half is yellow with brown spots, while its back half is brown with yellow spots. The brown section on female Girafarig is smaller than that of the male. There are many triangular, pink spikes along its back. Girafarig lives in savannas and grasslands, where it feeds on the plant life."
Pineco,"Pineco is an insectoid Pokémon encased in a blue-green, pine cone-like shell that protects it from bird Pokémon. It has red eyes and no visible limbs, along with a single spike on top of its head, which is supposedly its stem. It makes its shell thicker by gluing tree bark to its body. The glue is made of fluid that Pineco spits out, which hardens when it is exposed to air. Pineco's shell becomes bigger and thicker as more tree bark is accumulated; older Pineco are very large in size."
Forretress,"Forretress is a large, spherical insectoid Pokémon with no visible limbs. The upper and lower halves of its body are capped by bumpy steel plates, giving it a strong defense against opponents. The outer plates have zigzagging ridges that open along its back and front, revealing its smooth, red inner shell. The inner shell is punctuated by four cylindrical spikes, each tapering to an open point. Between the spikes, the inner shell opens along a straight line to reveal Forretress's eyes, which are round with large pupils. Whatever else lies inside its shell is unknown."
Dunsparce,"Dunsparce is a serpentine, and somewhat insectoid, Pokémon with a primarily yellow body, blue underside, and blue-and-cream-striped back. Its head is round with a wide mouth extending under its jowls and curving up toward the middle of its face. Its chin is blue with two rounded prongs. Its eyes—round and rimmed with blue—are kept closed, revealing its cream-colored eyelids. On Dunsparce's upper back are two tiny white wings. Its body ends in a drill-like tail."
Gligar,"Gligar is a purple, chiropteran Pokémon with scorpion features. Its head and body are round and roughly equal in size. It has long, triangular ears and triangular eyes with small pupils. Two large pointed teeth protrude from its upper jaw, and a pink tongue is often seen lolling from its mouth. Its arms are segmented at the wrists and end in large pincers. Spread between its arms are two blue wing membranes, each tipped with a purple claw. Its legs are thin and likewise segmented at the ankles, with its round feet having one claw each. Gligar has a long tail split into spherical sections, ending in a large, round stinger. The female Gligar will have a smaller stinger than the male."
Steelix,"Steelix is a long, serpentine Pokémon with a silvery-gray body made up of rock-like sections, which can possess chips and scrapes from fights and tunneling. Three of those sections have long rock spikes coming out of them on either side. It has a massive head mainly made up of its large, wide jaw with sets of large square teeth inside. Along its bottom jaw are ridges: there are two pairs of ridges on a male Steelix, while there is only one pair on a female. Several small, square lumps cover the underside of its lower jaw. Its eye sockets are slightly deep-set, and the eyes themselves are red. Its head has two long ridges going from the eyes up to the top of its head. The tip of its tail is conical with a blunt tip."
Snubbull,"Snubbull is a pink, bipedal, bulldog-like Pokémon with blue polka dots covering its body. It has loose skin that drapes to cover the lower part of its body, giving it the appearance of a dress. There is a small, blue ruff around its neck. It has a pronounced underbite, but it still has powerful jaws. Additionally, it has two earflaps that are flat, curved, and tipped with black, and a small, shiny black nose. Its feet are beige with three toes and a circular pink paw pad, while its arms are short and stubby."
Granbull,"Granbull is a purple, bipedal, bulldog-like Pokémon. It has a prominent lower jaw with two long, fang-like growths. Its upper jaw has two small fangs. The jaws are so heavy that the Pokémon has trouble keeping its head up. On the sides of its head are flat, curved ears, and its small nose is black. There is a black collar around its neck with two small white markings on it. Around its wrists are two black band markings, and it has a short tail."
Qwilfish,"Qwilfish is a sea dwelling piscine Pokémon with a spherical body and a flat, paddle-shaped tail. The upper half of its body is dark teal and the lower half is light greenish-yellow. Its tail is tall and thin with a dark teal outline, light greenish-yellow inside, and two dark teal dots in the center that resemble the Japanese character ハ Ha. Its eyes are even with its body and are always seen slanted angrily. Below its eyes are its puffy pink lips. All around its body are sharp, conical spikes, which evolved from scales over time."
